id,name_jp,name_en,series,series_en,ntbl,namenum,type,tiles,nature,variant,image_id,shape_group,shape_element,shape,koma_unk
0,セナ,Sena,sena;sena1,es,Eyeshield 21,1,0,help,1,Neutral (なし),1K,0,0,0,#..../...../...../.....,1;2;3;1;48
1,セナ,Sena,sena,es,Eyeshield 21,1,1,support,2,Knowledge (知),2K (T2),1,1,1,#..../#..../...../.....,1;1;117;2;48
2,セナ,Sena,sena,es,Eyeshield 21,1,2,support,3,Knowledge (知),3K (T3),2,2,2,##.../.#.../...../.....,1;1;117;1;48
3,ヒル魔,Hiruma,hiruma,es,Eyeshield 21,1,3,help,1,Neutral (なし),1K,3,0,0,#..../...../...../.....,2;2;47;1;48
4,ヒル魔,Hiruma,hiruma,es,Eyeshield 21,1,4,support,2,Knowledge (知),2K (T2),4,1,1,#..../#..../...../.....,2;1;118;2;48
5,ヒル魔,Hiruma,hiruma,es,Eyeshield 21,1,5,support,3,Knowledge (知),3K (T6),5,2,5,##.../#..../...../.....,2;1;118;2;48
6,栗田,Kurita,kurita,es,Eyeshield 21,1,6,help,1,Neutral (なし),1K,6,0,0,#..../...../...../.....,3;2;6;1;48
7,栗田,Kurita,kurita,es,Eyeshield 21,1,7,support,2,Power (力),2K (T1),7,1,0,##.../...../...../.....,3;1;119;2;48
8,栗田,Kurita,kurita,es,Eyeshield 21,1,8,support,3,Power (力),3K (T3),8,2,2,##.../.#.../...../.....,3;1;119;1;48
9,モン太,Monta,monta,es,Eyeshield 21,1,9,help,1,Neutral (なし),1K,9,0,0,#..../...../...../.....,4;2;38;1;48
10,モン太,Monta,monta,es,Eyeshield 21,1,10,support,2,Power (力),2K (T1),10,1,0,##.../...../...../.....,4;1;121;1;48
11,モン太,Monta,monta,es,Eyeshield 21,1,11,support,3,Power (力),3K (T2),11,2,1,#..../#..../#..../.....,4;1;121;2;48
12,ムサシ,Musashi,musashi,es,Eyeshield 21,1,12,help,1,Neutral (なし),1K,12,0,0,#..../...../...../.....,5;2;14;1;48
13,ムサシ,Musashi,musashi,es,Eyeshield 21,1,13,support,2,Power (力),2K (T1),13,1,0,##.../...../...../.....,5;1;120;2;48
14,ムサシ,Musashi,musashi,es,Eyeshield 21,1,14,support,3,Power (力),3K (T6),14,2,5,##.../#..../...../.....,5;1;120;1;48
15,ハァハァ３兄弟,Ha-Ha Brothers,ha-ha-brothers,es,Eyeshield 21,1,15,help,1,Neutral (なし),1K,15,0,0,#..../...../...../.....,6;2;41;1;48
16,ハァハァ３兄弟,Ha-Ha Brothers,ha-ha-brothers,es,Eyeshield 21,1,16,support,2,Laughter (笑),2K (T1),16,1,0,##.../...../...../.....,6;1;122;1;48
17,ハァハァ３兄弟,Ha-Ha Brothers,ha-ha-brothers,es,Eyeshield 21,1,17,support,3,Power (力),3K (T1),17,2,0,###../...../...../.....,6;1;122;2;48
18,進清十郎,Shin,shin,es,Eyeshield 21,1,18,help,1,Neutral (なし),1K,18,0,0,#..../...../...../.....,7;2;5;1;48
